id,nodesize,type
s01,50,1
s02,2.025,2
s03,2.025,2
s04,3.5,2
s05,1,2
s06,0.725,2
s07,2.875,2
s08,1.6,2
s09,0.175,2
s10,2.175,2
s11,0,2
s12,0.675,2
s13,0.5,2
s14,15.7,2
s15,1.4,2
s16,0.4,2
s17,1.375,2
s18,0.425,2
s19,0.55,2
s20,7,2
s21,10.375,2
s22,1.125,2
s23,0.325,2
s24,0.925,2
s25,3.6,2
s26,0.525,2
s27,0.9,2
s28,0.1,2
s29,0.5,2
s30,2.3,2
s31,1.825,2
s32,1.95,2
s33,0.325,2
s34,0.9,2
s35,3,2
s36,0.475,2
s37,0.1,2
s38,2.975,2
s39,6.1,2
s40,9.225,2
s41,0.65,2
s42,3.05,2
s43,2.925,2
s44,6.35,2
s45,0.7,2
s46,0.2,2
s47,0.6,2
s48,1.7,2
s49,1.675,2
s50,1.425,2
s51,2.4,2
s52,4.725,2
s53,0.7,2
s54,0.35,2
s55,0.1,2
s56,0.6,2
s57,0.55,2
s58,0.825,2
s59,3.875,2
s60,0.375,2
s61,0.8,2
s62,5.7,2
s63,0.55,2
s64,0.375,2
s65,0.7,2
s66,0.425,2
s67,0.95,2
s68,0.45,2
s69,3.175,2
s70,5.175,2
s71,1,2
s72,2.65,2
s73,1.775,2
s74,3.15,2
s75,0.575,2
s76,1.825,2
s77,0.85,2
s78,1.45,2
s79,2.825,2
s80,2.15,2
s81,0.8,2
s82,4.5,2
s83,2.175,2
s84,1.975,2
s85,2.15,2
s86,1.95,2
s87,2.175,2
s88,0.125,2
s89,0.8,2
s90,1.525,2
s91,3.325,2
s92,2.125,2
s93,1.6,2
s94,0.475,2
s95,0.5,2
s96,1.175,2
s97,0.375,2
s98,0.075,2
s99,0.5,2
s100,0.325,2
s101,1.225,2
s102,0.425,2
s103,1.075,2
s104,14.675,2
s105,0.8,2
s106,0.825,2
s107,4.05,2
s108,0.975,2
s109,1.875,2
s110,2.25,2
s111,0.85,2
s112,0.6,2
s113,0.575,2
s114,0.7,2
s115,0.2,2
s116,1.65,2
s117,1.375,2
s118,2.675,2
s119,0.225,2
s120,3.45,2
s121,1.45,2
s122,0.225,2
s123,1.45,2
s124,2,2
s125,1.075,2
s126,0.475,2
s127,0.65,2
s128,1.875,2
s129,4.05,2
s130,1.1,2
s131,2.3,2
s132,1.025,2
s133,0.65,2
s134,0.45,2
s135,0,2
s136,1.4,2
s137,7.1,2
s138,3.9,2
s139,0.875,2
s140,0.125,2
s141,0.525,2
s142,1.075,2
s143,0.45,2
s144,0.475,2
s145,2.125,2
s146,1.05,2
s147,0.425,2
s148,1.1,2
s149,0.45,2
s150,0.3,2
